SR_NO,COMPANY_NAME,EXPERIENCE,FUNCTION,INDUSTRY,JOB_DESCRIPTION,JOB_LOCATION,JOB_TITLE,AVERAGE_PACKAGE,ROLES,SKILLS
10,Biz Industries,0-2 years,Finance & Accounts,"Banking, Accounting, Financial Services","Account Assistant Call & Whatsapp HR Pratik Sir - ( 8826072791)Account AssistantMonitor the accounts payable approval process and ensure that invoices are properly recorded in the accounting systemMonitor supplier accounts in accordance with company practices and prepare a weekly list to ensure compliance with agreed upon payment deadlinesProcess each day the payments received by cheque and bank transfers, and ensure they are properly recorded in the accounting systemCarry out allocation and accounting tasks related to credit cards and expense reportsAct as the primary contact for suppliers and clients for the purpose of validating accounts payable and receivable balancesSupport administrative activities such as accounting, procurement and subscription follow-upsAccount AssistantCall & Whatsapp HR Pratik Sir - ( 8826072791)Account Assistant",Hyderabad / Secunderabad,Account Assistant Job For Freshers,150000 - 250000 INR,Accountant,"Account Assistant, Account Executive, Accountant, Secretary"
11,Biz Industries,0-2 years,Finance & Accounts,"Banking, Accounting, Financial Services",Account Assistant Call & Whatsapp HR Surya Sir - (8051041867)Account AssistantHandling day-to-day administrative workPerforming general accounting duties as assigned by the managementPreparing and maintaining proper filing of reports & invoicesProcessing supplier payments and expensesChasing outstanding receivablesAssist in managing phone callsHandle wide range of accounts dutiesFollow up- with customer for due paymentsProcessing of paymentsAssist in quarterly GST reportingAccount Assistant - O level equivalent.Account Executive-At least A Level or ReleventAccount AssistantCall & Whatsapp HR Surya Sir - (8051041867)Account Assistant,Hyderabad / Secunderabad,Account Assistant Job For Freshers,150000 - 250000 INR,Accountant,"Account Assistant, Account Executive, Accountant, Secretary"
12,Biz Industries,0-2 years,Construction,Construction & Engineering,"Civil Site EngineerCall & Whatsapp HR Surya Sir - (8051041867)Civil Site EngineerConsistently executing prescribed technical procedures, safe work practices and work plans in a safe, efficient manner under all applicable regulatory requirements and contract specifications.Generating deliverable documentation, including technical reports, letters, summaries, data sheets, graphs, proposals, and qualification packages.Installing vibration, noise, and geotechnical equipment on various project sites.Ensuring technical quality of studies and project delivery for the Instrumentation and Monitoring Team.Interacting with clients, regulators, and subcontractors regularly, including presenting and discussing outcomes with clients and project teams.Civil Site EngineerCall & Whatsapp HR Surya Sir - (8051041867)Civil Site Engineer",Delhi,Civil Site Engineer For Freshers,150000 - 250000 INR,Civil Engineer,Civil Site Engineer
13,Biz Industries,0-2 years,"IT, Software Development - Application Programming, Maintenance, IT, Software Development - Client Server","IT, Computers - Software","Java DeveloperCall & Whatsapp HR Shubham Sir - (9352743030)Java DeveloperDelivering high availability and performanceContributing in all phases of the development lifecycleAEM experienceJava developer, Struts, Java, Core java, Java struts, JSP, Spring Framework, Angular JS.Writing well-designed, efficient, and testable codeConducting software analysis, programming, testing, and debuggingManaging Java and Java EE application developmentEnsuring designs comply with specificationsPreparing and producing releases of software componentsJava DeveloperCall & Whatsapp HR Shubham Sir - (9352743030)Java Developer",Delhi,Java Developer Job For Freshers,150000 - 250000 INR,"Software Developer, Software Developer","Java developer, Java"
14,Biz Industries,0-2 years,"Customer Service, Call Centre, BPO","ITES, BPO","BPO (Flipkart)Call & Whatsapp HR Surya Sir - (8051041867)BPO (Flipkart)As a positivity champion, providing world-class human experiences through all interactions – on the phone and off.Resolving a high volume of customer issues, complaints and queries using a demonstrated proactive approach.Producing high-quality work, accurately documenting conversations and updating customer information.Offering insights and advice on service concerns and upgrades as required.Completing follow-up and being accountable to the customer and ultimately, our clients.Resolving customer escalations and complaints, seeing them as an opportunity to provide solutions that will change their mindset and the outcome of our interactions.BPO (Flipkart)Call & Whatsapp HR Surya Sir - (8051041867)BPO (Flipkart)",Thiruvananthapuram / Trivandrum,BPO (Flipkart) Job For Freshers,150000 - 250000 INR,"Customer Service Executive (Non-voice), Customer Service Executive (Voice)",Bpo
15,Biz Industries,0-2 years,"IT, Software Development - Application Programming, Maintenance, IT, Software Development - Client Server","IT, Computers - Software","Software DeveloperCall & Whatsapp HR Yogesh Sir - (7617551414)Software DeveloperResponsible for the design, implement and maintaining (Robotic process automation) RPA system for the organization. It will also be the consultant recommending process automation that best fits organization business operation.Work alongside with Application team to design and roll out RPA solution from scratch.Analyze business process and identifying automation opportunities and assess automation feasibilityFacilitate workshops and support the business stakeholders in business process mapping and improvements prior to automationDesign process workflows, implement and test RPA solutions ensuring quality of the end deliverablesSoftware DeveloperCall & Whatsapp HR Yogesh Sir - (7617551414)Software Developer",Mumbai,Software Developer Job For Freshers,150000 - 250000 INR,"Software Developer, Software Developer","Software Developer, Software Engineer, Software programmer, Programmer"
16,Biz Industries,0-2 years,"IT, IT- Hardware, Telecom, Technical Staff, Support","IT, Computers - Hardware & Networking","Desktop Support EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Desktop Support EngineerAct as an mentor to other Support Engineers on both product and technical knowledgeService requests involving undocumented and/or uncommon product features, configuration or usageRespond to incoming support cases and phone calls, resolving how-to and technical issuesTroubleshoot issues and create intermediate data fixes, interim solutions (non-code fixes), or technical workarounds using SQL and other technical support toolsReview web server and application server logs, such as Kibana or Sumo Logic, to resolve system issues created by monitoring and batch processing system(s)Interact with internal and external SFTP environments for sending and receiving client dataAddress support cases in a timely manner, meeting or exceeding the established standards for the role, functional area, business unit and / or client SLA commitmentsDesktop Support EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Desktop Support Engineer",Hyderabad / Secunderabad,Desktop Support Engineer For Freshers,150000 - 250000 INR,"Hardware Design Technical Leader, Other Software, Hardware, EDP","Desktop Support Engineer, Hardware Engineer, Desktop Engineer, Technical Support Engineer, Customer Support Engineer"
17,Biz Industries,0-2 years,"Customer Service, Call Centre, BPO","ITES, BPO","HR ExecutiveCall & Whatsapp HR Vedpal Sir -(8218550935)HR ExecutiveAccountable for the planning, organizing, and the successful implementation of projects. These include but are not limited to the President’s Award of Excellence in Student Leadership, the Undergraduate Student Initiative Fund, and the Student Life Enhancement Fund. Creates a plan for the successful and efficient implementation of these projects. This includes developing timelines, creating documentation, communications, reviewing submissions and making recommendations for approval. Reviews terms of reference, criteria and process for continued improvements for efficiency and streamlining processes, and monitors all aspects of these projects. Prepares/updates all of the required communication.HR ExecutiveCall & Whatsapp HR Vedpal Sir -(8218550935)HR Executive",Delhi,HR Executive Job For Freshers,150000 - 250000 INR,"Customer Service Executive (Non-voice), Customer Service Executive (Voice)","Hr Executive, Human Resource, Hr, Hr Generalist"
18,Biz Industries,0-2 years,Engineering - Electrical,"Electrical, Switchgears","Electrical Maintenance Engineer Call & Whatsapp HR Shubham Sir - (9352743030)Electrical Maintenance EngineerExtensive knowledge of mechanical repair tools and techniques;Knowledge of principles of operation, control, and maintenance of HVAC systems and Medical Air Systems in order to perform maintenance and repair functions on hospital equipment;Knowledge of safety and health regulations and guidelines as they pertain to the Boiler and Pressure Vessels Act;Good communications skills, both written and oral;Good computer skills, knowledge and use of Microsoft Word, Outlook, Excel and Building Control systems;Ability to utilize knowledge of welding, electrical, carpentry, plumbing and HVAC;Ability to organize, schedule, prioritize job tasks, and adapt to workload variances and determine parts that are required;Ability to maintain records and prepare comprehensive and concise reports;Electrical Maintenance EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Electrical Maintenance Engineer",Bengaluru / Bangalore,Electrical Maintenance Engineer For Freshers,150000 - 250000 INR,Electrical Engineer,Electrical Maintenance Engineer
19,Biz Industries,0-2 years,"Pharmaceutical, Biotechnology","Bio Technology & Life Sciences, Chemicals, Petrochemicals","Lab Chemist Call & Whatsapp HR Pratik Sir - ( 8826072791)Lab ChemistConducts analyses and experiments on organic and inorganic substances to determine and evaluate their applicationsConducts experiments to improve upon or to duplicate various materials and substancesEngages in research to develop new methods of processing or productionExamines potential new uses for technical platformsAssignments involve data collection, technical analysis, summarizing findings in written technical reports and at key project check points and recommendations for proceeding to project conclusionsContributes to the development of differentiated technology, products, processes, or systemsProvides professional divisional supportConducts analyses and experiments in support of product applicationsLab ChemistCall & Whatsapp HR Pratik Sir - ( 8826072791)Lab Chemist",Hyderabad / Secunderabad,Lab Chemist Job For Freshers,150000 - 250000 INR,Chemist,Lab Chemist
20,Biz Industries,0-2 years,"Pharmaceutical, Biotechnology","Banking, Accounting, Financial Services, Bio Technology & Life Sciences","Lab TechnicianCall & Whatsapp HR Pratik Sir - ( 8826072791)Lab TechnicianOperate and clear errorsPeriodically check polishing pads for obvious signs of wearSeparate jobs based on block and type of lensesSuccessfully block different types of lensesPlace blocked lenses correctly in traysIdentify generating and polishing defectsRecognize laser marksClear errors and refill blocks and alloyOpening and closing the shift set up, able to turn conveyor on and offTrouble shoot red light errors (i.e. restarting, lens incorrectly inserted, etc.)Inspect good quality generated lensesProper handling of lens to ensure that lens is not scratchedIdentify defects and complete inspectionsUse Mandatory PPEPerform basic maintenance and housekeeping as requiredHands-on training will be providedLab TechnicianCall & Whatsapp HR Pratik Sir - ( 8826072791)Lab Technician",Bengaluru / Bangalore,Lab Technician Job For Freshers,150000 - 250000 INR,Bio-Technology Research Scientist,"Lab Technician, Lab Assistant, Laboratory Technician, Laboratory, Lab Chemist"
21,Biz Industries,0-2 years,Construction,Construction & Engineering,"Civil Site EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Civil Site EngineerConsistently executing prescribed technical procedures, safe work practices and work plans in a safe, efficient manner under all applicable regulatory requirements and contract specifications.Generating deliverable documentation, including technical reports, letters, summaries, data sheets, graphs, proposals, and qualification packages.Installing vibration, noise, and geotechnical equipment on various project sites.Ensuring technical quality of studies and project delivery for the Instrumentation and Monitoring Team.Interacting with clients, regulators, and subcontractors regularly, including presenting and discussing outcomes with clients and project teams.Ability to work in a fast-paced environment and able to carry out assignments with minimal supervision.Civil Site EngineerCall & Whatsapp HR Shubham Sir - (9352743030)Civil Site Engineer",Delhi,Civil Site Engineer For Freshers,150000 - 250000 INR,Civil Engineer,Civil Site Engineer
22,Biz Industries,0-2 years,"Fashion, Apparels","Fashion, Apparels","Fashion Designer Call & Whatsapp HR Shubham Sir - (9352743030)Fashion DesignerArt or Fashion Design ExperienceAccessoriesMens clothingHosieryHead wearFootwearWomens clothingSpecific SkillsFashion designers design and create clothing and accessories for men, women and childrenWork Conditions and Physical CapabilitiesFast-paced environmentTight deadlinesPersonal SuitabilityExcellent oral communicationExcellent written communicationTeleworking InformationRemote work availableFashion DesignerCall & Whatsapp HR Shubham Sir - (9352743030)Fashion Designer",Kolkata,Fashion Designer Job For Freshers,150000 - 250000 INR,"Head, VP, GM - Fashion, Apparels",Fashion Designer
23,Biz Industries,0-2 years,Engineering - Electrical,"Electrical, Switchgears","Electrical Maintenance EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Electrical Maintenance EngineerIdentifies nature of malfunction of equipment and appliances such as wheelchairs, paging systems, toasters, food mixers and blenders; performs electrical and mechanical repairs by disassembling motors and equipment, cleaning, oiling, greasing and replacing parts such as brushes, elements, bearings, filters, belts, wires and soldering connections.Maintains related preventative maintenance inspection reports, records and documents, as required; logs activities such as preventative and demand work, test results on fire alarms, auxiliary generators, HVAC systems etc.; completes, collates and files documentation in accordance with established standards and procedures.Maintains working areas in a clean and safe condition.Works with Supervisor in developing and maintaining rolling stock program.Electrical Maintenance EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Electrical Maintenance Engineer",Hyderabad / Secunderabad,Electrical Maintenance Engineer For Freshers,150000 - 250000 INR,Electrical Engineer,Electrical Maintenance Engineer
24,Biz Industries,0-2 years,Construction,Construction & Engineering,"Civil Site EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Civil Site EngineerSupervise technicians, technologists and other engineers and review and approve designs, calculations and cost estimatesConfer with clients and other members of the engineering team and conduct research to determine project requirementsPlan and design major civil projects such as buildings, roads, bridges, dams, water and waste management systems and structural steel fabricationsDevelop construction specifications and proceduresEvaluate and recommend appropriate building and construction materialsInterpret, review and approve survey and civil design workEnsure construction plans meet guidelines and specifications of building codes and other regulationsEstablish and monitor construction work schedulesConduct feasibility studies, economic analyses, municipal and regional traffic studies, environmental impact studies or other investigationsCivil Site EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Civil Site Engineer",Bengaluru / Bangalore,Civil Site Engineer For Freshers,150000 - 250000 INR,Civil Engineer,Civil Site Engineer
25,Zarbex Solutions,0-5 years,"Admin, Secretarial, Front Office","ITES, BPO",Dear CandidateCongratulations!Your CV Selected For Back Office Data Entry WorkCompany job profile-1.Back Office Data Entry Work2.account finance3.Collection & Verification Process4.Sales & Marketing5.BPO Customer Service ExecutiveQUALIFICATION REQUIRED* 12th* Any Graduate/UndergraduateSalary:Basic:-15000 To 25000Note: - It will totally depend upon Ur interview.BENEFITSFood Court (Free meal Veg an d Non-Veg).Excellent Growth Path.Medical facility.Free cab (Both Side)Timing Details:Domestic-Day Shift Only (10 AM To 6 PM)Morning Shift-7AM To 3 PMAfternoon Shift-1PM To 10 PMNight Shift-8PM To 5 AM(On-the-spot offer letter.)Immediately Joining!Concern Person Regarding That Mr. -HR MahiContact No.- +918587922562,Pune,Freshers/Front desk/Front office executive,150000 - 480000 INR,,"Freshers, Front Desk, Front Office Executive, Front office"
26,Biz Industries,0-2 years,"IT- Hardware, Telecom, Technical Staff, Support, IT, Hardware - Embedded, EDA, VLSI, ASIC, Chip Description","IT, Computers - Hardware & Networking","Hardware and Networking Engineer Call & Whatsapp HR Surya Sir - (8051041867)Hardware and Networking EngineerTroubleshoot and resolve technical problemsCommunicate electronically and in person with computer users experiencing difficulties to determine and document problems experiencedConsult user guides, technical manuals and other documents to research and implement solutionsProvide advice and training to users in response to identified difficultiesCollect, organize and maintain a problems and solutions log for use by other technical support analystsParticipate in the redesign of applications and other softwareSupervise other technical support workers in this groupSet up equipment for employee use, performing or ensuring proper installation of cables, operating systems, or appropriate softwareProvide business systems, network and Internet support to users in response to identified difficultiesHardware and Networking EngineerCall & Whatsapp HR Surya Sir - (8051041867)Hardware and Networking Engineer",Hyderabad / Secunderabad,Hardware and Networking Engineer For Freshers,150000 - 250000 INR,"Hardware Installation Technician, Head, VP, GM - Hardware, Telecom, Technical Staff, Support","Hardware Networking Male, Hardware And Networking, Network Engineer, Software Developer"
27,Biz Industries,0-2 years,"Pharmaceutical, Biotechnology","Bio Technology & Life Sciences, Chemicals, Petrochemicals","Pharmacist Retail/HospitalCall & Whatsapp HR Pratik Sir - ( 8826072791)Pharmacist Retail/HospitalAcknowledge all customers approaching the Pharmacy, offer assistance promptly and in a courteous and professional mannerPractice within federal/provincial, regulatory/legal requirements, provincial Code of Ethics, Standards of • Practice, and Policies, demonstrating professional integrity and acting to uphold a high level of professional standard of practiceEnsure all privacy requirements are met, including customer confidentiality and consent managementProvide counselling on prescriptions, over the counter/behind the counter products and all health related issues, including but not limited to indications, contra-indications, adverse effects, drug interactions and dosagePharmacist Retail/HospitalCall & Whatsapp HR Pratik Sir - ( 8826072791)Pharmacist Retail/Hospital",Hyderabad / Secunderabad,Pharmacist Retail/Hospital Job For Freshers,150000 - 250000 INR,"Pharmacist, Bio-Technology Research Scientist",Pharmacist Retail/hospital
28,Hucon Solutions India Private Limited,Fresher,"Customer Service, Call Centre, BPO","ITES, BPO","Greetings from Hucon Solutions.Spot offers with Immediate Joining !!!Huge requirement with Leading BPO for International Process For Top MNCs,Openings for Customer service(Voice & Semi voice) & Technical Support for FreshersEligibility Criteria:· Any Graduate, Post Graduation,(2017,2018,2019 & 2020 year Pass out)· Excellent Communication skills in English.· Willing to work in Rotational Shifts · Two way Transportation Package : Max 2.4Lac Per Annum+ Incentives,WORK FROM HOME.For any queries please reach out to me! All the Best!Forward your updated resume to Confidential InformationAll our Services are FREECONTACT: 9676935587 (only monday to saturday 10:00 am - 6 pm)Thanks & RegardsArshiya JahanHucon Solutions (IND) Pvt. Ltd.Email :Confidential Information",Hyderabad / Secunderabad,Openings for Freshers For Top MNCs,150000 - 200000 INR,"Fresher, Technical Support Executive ( voice), Customer Service Executive (Voice)","Bpo, Technical Skills, International Call Center, graduate fresher, B.Com Freshers, Mba, Bba, BA, M.A, Bca, Bhm, Cbse, Convent, Anglo, C.B.S.E, English medium, b.tech, technical support"
29,Biz Industries,0-2 years,"IT, IT- Hardware, Telecom, Technical Staff, Support","IT, Computers - Hardware & Networking, IT, Computers - Software",System Engineer Call & Whatsapp HR Yogesh Sir - (7617551414)System EngineerApprove engineering designPerform risk analysisTroubleshootAdvise on heating systems energy efficiencyManage engineering projectQualifications and experience requiredStrong motivation and open and positive attitudeSense of proactive initiative and team spiritExperience of having worked in a similar roleCommitment to providing high quality support to colleagues and to meeting deadlinesAbility to work autonomouslySystem EngineerCall & Whatsapp HR Yogesh Sir - (7617551414)System Engineer,Kolkata,System Engineer For Freshers,150000 - 250000 INR,"System Administrator, Systems Engineer","Associate  System Engineer, Assistant System Engineer, Network & System Engineer, Embedded System Engineer, System Engineer"
30,Biz Industries,0-2 years,Engineering - Electrical,"Electrical, Switchgears","Electrical EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Electrical EngineerHardware design and development of battery protection circuit, including sizing, selection and control for contactors and relays.2. Design and development of battery sensor circuit, including circuit design, component selection, and testing/calibration of voltage, current, and temperature sensors.3. Software development of battery protection scheme in BMS including over/under voltage, over current, and over temperature protections.4. Evaluation of battery State-of-Charge (SoC) and the associated firmware development in BMS5. Study, comparison and selection of proper micro controller unit (MCU) to implement the BMS firmware.Electrical EngineerCall & Whatsapp HR Pratik Sir - ( 8826072791)Electrical Engineer",Delhi,Electrical Engineer For Freshers,150000 - 250000 INR,Electrical Engineer,"Electrical Engineer, Electrical executive, Electrical Design Engineer, Electrical Maintenance"
31,Biz Industries,0-2 years,"IT, IT- Hardware, Telecom, Technical Staff, Support","IT, Computers - Hardware & Networking, IT, Computers - Software","System Engineer Call & Whatsapp HR Shubham Sir - (9352743030)System EngineerInstall, configure, test and maintain operating systems, application software and system management toolsManage and monitor all installed systems and infrastructureMonitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixesProactively ensure the highest levels of systems and infrastructure availabilityLiaise with vendors and other IT personnel for problem resolutionSystem EngineerCall & Whatsapp HR Shubham Sir - (9352743030)System Engineer",Bengaluru / Bangalore,System Engineer For Freshers,150000 - 250000 INR,"Hardware Design Technical Leader, Other Software, Hardware, EDP","Assistant System Engineer, Associate  System Engineer, Network & System Engineer, Embedded System Engineer, System Engineer"
32,Biz Industries,0-2 years,Construction,Construction & Engineering,Civil EngineerCall & Whatsapp HR Yogesh Sir - (7617551414)Civil EngineerCivil and Structural designs for structural members that support all equipment2. To be the liaison between the district cooling team and the C&S consultants for projects that are under construction3. Performing design calculations for new plinths and new structural members for current and upcoming projects4. Working with the design team on space planning and ensuring that there is enough structural support for all equipment requiredCivil EngineerCall & Whatsapp HR Yogesh Sir - (7617551414)Civil Engineer,Mumbai,Civil Engineer For Freshers,150000 - 250000 INR,Civil Engineer,"Civil Engineer, Site Engineer, Construction Engineer, Civil engg, Project engineer"
33,Altronic HR Solution,0-5 years,Marketing & Communications,"Automotive, Automobile, Ancillaries","Automobile Company freshers and experience male/Female candidates for pan India leveljob opening in automobiles Company -Hiring for work shop , showroom and manufacturing Plants.Qualification-10th,12th,Diploma,I.T.I,Graduation and Post Graduation, qualified and fresher candidates are required.Post: - Store Keeper,Supervisor,assistant, Helper , computer operator, store in-charge, clerk, CCTV operator, mechanical supervisor and technical field, Executive , Sales and Marketing , HR , Operator, Admin , Office worker and Field worker.Working Hours ;- 8 hours, 9am to 5pm.Other Benefits ;- Fooding + cab service + E.S.I p.f ,Medical policy + Uniform facility available + Bonus + week Off.Apply Male And Females CandidateSkills: Supervision sales marketing Office workInterested candidates contact to HR for Interview appointment - (8826330102)Same Whats App.","Faridabad, Goa",Hiring for Automobile freshers,Not Specified,"Fresher, Marketing Manager, Other Marketing, Marketing Executive","Freshers, High School Pass"
